ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,data_rinnovo,validita_rinnovo,nuovi_espatri,note_esp_rinnovi
df0dec40-e670-11ec-9d05-a3723e08b856,07f80370-e671-11ec-9d05-a3723e08b856,2022-06-07T14:49:28.103Z,2022-06-07T14:49:50.000Z,07f80370-e671-11ec-9d05-a3723e08b856,1899,1,Austria-Ungheria,
df0dec40-e670-11ec-9d05-a3723e08b856,00a92220-e671-11ec-9d05-a3723e08b856,2022-06-07T14:49:15.842Z,2022-06-07T14:49:51.000Z,00a92220-e671-11ec-9d05-a3723e08b856,1895,3,"Austria, Italia, Ungheria, Germania",
df0dec40-e670-11ec-9d05-a3723e08b856,faf1d0c0-e670-11ec-9d05-a3723e08b856,2022-06-07T14:49:06.253Z,2022-06-07T14:49:52.000Z,faf1d0c0-e670-11ec-9d05-a3723e08b856,1894,"3 mesi",Austria-Ungheria,
df0dec40-e670-11ec-9d05-a3723e08b856,f5b1ab30-e670-11ec-9d05-a3723e08b856,2022-06-07T14:48:57.443Z,2022-06-07T14:49:52.000Z,f5b1ab30-e670-11ec-9d05-a3723e08b856,1893,1,Austria-Ungheria,
df0dec40-e670-11ec-9d05-a3723e08b856,f0316f60-e670-11ec-9d05-a3723e08b856,2022-06-07T14:48:48.214Z,2022-06-07T14:49:53.000Z,f0316f60-e670-11ec-9d05-a3723e08b856,1892,1,"Austria, Germania",
bf4db7f0-e670-11ec-9d05-a3723e08b856,d4ff4eb0-e670-11ec-9d05-a3723e08b856,2022-06-07T14:48:02.587Z,2022-06-07T14:48:16.000Z,d4ff4eb0-e670-11ec-9d05-a3723e08b856,1901,3,Europa,
bf4db7f0-e670-11ec-9d05-a3723e08b856,d0fadd70-e670-11ec-9d05-a3723e08b856,2022-06-07T14:47:55.848Z,2022-06-07T14:48:16.000Z,d0fadd70-e670-11ec-9d05-a3723e08b856,1898,3,Austria-Ungheria,
465f0240-e670-11ec-9d05-a3723e08b856,72375fc0-e670-11ec-9d05-a3723e08b856,2022-06-07T14:45:16.860Z,2022-06-07T14:45:29.000Z,72375fc0-e670-11ec-9d05-a3723e08b856,1897,1,Austria-Ungheria,
465f0240-e670-11ec-9d05-a3723e08b856,6ab0f3b0-e670-11ec-9d05-a3723e08b856,2022-06-07T14:45:04.235Z,2022-06-07T14:45:30.000Z,6ab0f3b0-e670-11ec-9d05-a3723e08b856,1896,"4 mesi",Austria-Ungheria,
465f0240-e670-11ec-9d05-a3723e08b856,6439fbd0-e670-11ec-9d05-a3723e08b856,2022-06-07T14:44:53.389Z,2022-06-07T14:45:30.000Z,6439fbd0-e670-11ec-9d05-a3723e08b856,1894,"5 mesi",Austria-Ungheria,
465f0240-e670-11ec-9d05-a3723e08b856,5ed25110-e670-11ec-9d05-a3723e08b856,2022-06-07T14:44:44.321Z,2022-06-07T14:45:31.000Z,5ed25110-e670-11ec-9d05-a3723e08b856,1893,"4 mesi",Austria-Ungheria,
465f0240-e670-11ec-9d05-a3723e08b856,58a70830-e670-11ec-9d05-a3723e08b856,2022-06-07T14:44:33.971Z,2022-06-07T14:45:31.000Z,58a70830-e670-11ec-9d05-a3723e08b856,1892,1,Austria-Ungheria,
2b6f41c0-e670-11ec-9d05-a3723e08b856,3ebde240-e670-11ec-9d05-a3723e08b856,2022-06-07T14:43:50.500Z,2022-06-07T14:44:00.000Z,3ebde240-e670-11ec-9d05-a3723e08b856,1893,3,Europa,
2b6f41c0-e670-11ec-9d05-a3723e08b856,39ddb700-e670-11ec-9d05-a3723e08b856,2022-06-07T14:43:42.320Z,2022-06-07T14:44:01.000Z,39ddb700-e670-11ec-9d05-a3723e08b856,1892,1,"Austria, Germania",
abee4400-e66f-11ec-9d05-a3723e08b856,be2f6c20-e66f-11ec-9d05-a3723e08b856,2022-06-07T14:40:14.818Z,2022-06-07T14:40:24.000Z,be2f6c20-e66f-11ec-9d05-a3723e08b856,1900,3,Europa,
94314ce0-e66f-11ec-9d05-a3723e08b856,a4823dc0-e66f-11ec-9d05-a3723e08b856,2022-06-07T14:39:31.740Z,2022-06-07T14:39:42.000Z,a4823dc0-e66f-11ec-9d05-a3723e08b856,1896,3,Austria-Ungheria,
7d662fd0-e66f-11ec-9d05-a3723e08b856,8c763c40-e66f-11ec-9d05-a3723e08b856,2022-06-07T14:38:51.396Z,2022-06-07T14:39:00.000Z,8c763c40-e66f-11ec-9d05-a3723e08b856,1901,3,Europa,
2635e4e0-e66e-11ec-9d05-a3723e08b856,379bef40-e66e-11ec-9d05-a3723e08b856,2022-06-07T14:29:19.540Z,2022-06-07T14:29:32.000Z,379bef40-e66e-11ec-9d05-a3723e08b856,1895,3,Europa,
c0debf90-e66d-11ec-9d05-a3723e08b856,cf38c270-e66d-11ec-9d05-a3723e08b856,2022-06-07T14:26:24.407Z,2022-06-07T14:26:35.000Z,cf38c270-e66d-11ec-9d05-a3723e08b856,1897,3,Europa,
95c28620-e66d-11ec-9d05-a3723e08b856,b7f25ae0-e66d-11ec-9d05-a3723e08b856,2022-06-07T14:25:45.358Z,2022-06-07T14:25:59.000Z,b7f25ae0-e66d-11ec-9d05-a3723e08b856,1892,"3 mesi",Austria-Ungheria,
