espatrio,raggruppamento
Africa,extra europa
America,extra europa
Asia,extra europa
Austria,interna
Austria-Ungheria,interna
Bosnia-Erzegovina,interna
Esteri d'Europa,europa
Europa,europa
Francia,europa
Germania,europa
Italia,europa
Svizzera,europa
Turchia,extra europa
Ungheria,interna
